Feature_1,Value_1,Feature_2,Value_2,Avg_Engagement,Sample_Size
content_length_bucket,short,image_count_bucket,medium,3.506521720139838,6
content_length_bucket,medium,image_count_bucket,small,3.4565467080141588,14
content_length_bucket,long,image_count_bucket,small,3.369347249159163,20
content_length_bucket,long,image_count_bucket,medium,2.4356603978038462,23
content_length_bucket,medium,image_count_bucket,large,1.1613348309780207,3
content_length_bucket,short,image_count_bucket,small,0.8876077040713852,9
content_length_bucket,medium,image_count_bucket,medium,0.7947923619975005,16
content_length_bucket,long,image_count_bucket,large,0.40075321974597095,5
novelty_score,3,restaurant_popularity,1,3.9897330259685453,12
novelty_score,1,restaurant_popularity,2,3.399084909332976,28
novelty_score,3,restaurant_popularity,2,3.151627854404326,6
novelty_score,1,restaurant_popularity,3,1.5001663345766068,14
novelty_score,1,restaurant_popularity,1,1.2454625051432164,26
novelty_score,3,restaurant_popularity,3,0.4195658820428603,2
novelty_score,2,restaurant_popularity,2,0.3993675444162436,3
novelty_score,2,restaurant_popularity,1,0.38061452642553295,4
novelty_score,2,restaurant_popularity,3,0.1258488657708423,1
structured_content_flag,1,content_length_bucket,short,4.753731343283582,1
structured_content_flag,1,content_length_bucket,long,2.720508526924918,43
structured_content_flag,0,content_length_bucket,medium,2.0305617137306435,11
structured_content_flag,1,content_length_bucket,medium,1.9207344248206915,22
structured_content_flag,0,content_length_bucket,short,1.7338477367284226,14
structured_content_flag,0,content_length_bucket,long,1.6858067147260178,5
